"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"949","Stata dataset (.dta)","4705695","Survey Datasets","388","CG2011DHS","Births Recode","February, 06 2013 16:05:43","2011-12","DHS","2011","CG","CGBR60DT.ZIP","Congo","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CGBR60DT.zip&Tp=1&Ctry_Code=CG&surv_id=388&dm=1&dmode=nm",1,"publicly available"
"1023","Stata dataset (.dta)","3626446","Survey Datasets","239","CD2007DHS","Births Recode","July, 09 2009 16:15:35","2007","DHS","2007","CD","CDBR50DT.ZIP","Congo Democratic Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CDBR50DT.zip&Tp=1&Ctry_Code=CD&surv_id=239&dm=1&dmode=nm",1,"publicly available"
"1027","Stata dataset (.dta)","5667581","Survey Datasets","421","CD2013DHS","Births Recode","January, 07 2015 07:08:19","2013-14","DHS","2013","CD","CDBR61DT.ZIP","Congo Democratic Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CDBR61DT.zip&Tp=1&Ctry_Code=CD&surv_id=421&dm=1&dmode=nm",1,"publicly available"
"1083","Flat ASCII data (.dat)","36712","GPS Datasets","239","CD2007DHS","Geographic Data","March, 03 2012 11:29:57","2007","DHS","2007","CD","CDGE52FL.zip","Congo Democratic Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CDGE52FL.zip&Tp=2&Ctry_Code=CD&surv_id=239&dm=1&dmode=nm",1,"publicly available"
"1084","Flat ASCII data (.dat)","63022","GPS Datasets","421","CD2013DHS","Geographic Data","October, 03 2014 08:15:19","2013-14","DHS","2013","CD","CDGE61FL.zip","Congo Democratic Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CDGE61FL.zip&Tp=2&Ctry_Code=CD&surv_id=421&dm=1&dmode=nm",1,"publicly available"
"1085","Stata dataset (.dta)","2646156","Survey Datasets","62","CI1994DHS","Births Recode","May, 16 2007 10:15:44","1994","DHS","1994","CI","CIBR35dt.zip","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIBR35DT.zip&Tp=1&Ctry_Code=CI&surv_id=62&dm=1&dmode=nm",1,"publicly available"
"1089","Stata dataset (.dta)","1418368","Survey Datasets","106","CI1998DHS","Births Recode","May, 16 2007 10:01:46","1998-99","DHS","1998","CI","CIBR3Adt.zip","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIBR3ADT.zip&Tp=1&Ctry_Code=CI&surv_id=106&dm=1&dmode=nm",1,"publicly available"
"1097","Stata dataset (.dta)","3769162","Survey Datasets","311","CI2012DHS","Births Recode","April, 17 2017 11:42:03","2011-12","DHS","2012","CI","CIBR62DT.ZIP","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIBR62DT.zip&Tp=1&Ctry_Code=CI&surv_id=311&dm=1&dmode=nm",1,"publicly available"
"1221","Flat ASCII data (.dat)","26789","GPS Datasets","62","CI1994DHS","Geographic Data","March, 05 2012 18:26:54","1994","DHS","1994","CI","CIGE33FL.zip","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIGE33FL.zip&Tp=2&Ctry_Code=CI&surv_id=62&dm=1&dmode=nm",1,"publicly available"
"1222","Flat ASCII data (.dat)","33714","GPS Datasets","106","CI1998DHS","Geographic Data","March, 05 2012 18:26:54","1998-99","DHS","1998","CI","CIGE3BFL.zip","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIGE3BFL.zip&Tp=2&Ctry_Code=CI&surv_id=106&dm=1&dmode=nm",1,"publicly available"
